name,brand,price,Processor Brand,Processor Name,Processor Generation,processor clock speed,Number of Cores,SSD,drive capacity,RAM,Dedicated Graphic Memory Capacity,screen size,Screen Resolution,weight,speakers,touchscreen,microphone,webcam
"acer Aspire 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-58 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.7 kg, With MS Office)",acer,49890,Intel,Core i5,11th Gen,2.40,2.0,true,512.0,8,,15.6,2073600.0,1.7,True,True,True,True
"acer Nitro 5 Core i7 12th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) AN515-58 Gaming Laptop  (15.6 inch, Shale Black, 2.6 kg)",acer,109990,Intel,Core i7,12th Gen,4.70,14.0,true,512.0,16,4 GB,15.6,2073600.0,2.6,True,True,True,True
"HP Pavilion Gaming Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) 15-EC2048AX Gaming Laptop  (15.6 Inch, Shadow Black, 1.98 Kg, With MS Office)",HP,78190,AMD,Ryzen 5 Hexa Core,,3.2,6.0,true,512.0,8,4 GB,15.6,2073600.0,1.98,True,True,True,True
"HP OMEN Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) 16-B1351TX Laptop  (16.1 inch, Shadow Black, 2.32 kg, With MS Office)",HP,129980,Intel,Core i7,12th Gen,4.7,14.0,true,1000.0,16,4 GB,16.1,2073600.0,2.32,True,True,True,True
"Lenovo THINKBOOK 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) THINKBOOK 15 Notebook  (15.6 inch, Minral Grey, 1.9 kg)",Lenovo,53990,Intel,Core i3,11th Gen,3.00,2.0,true,512.0,8,,15.6,2073600.0,1.9,True,True,True,True
"ASUS Ryzen 5 Quad Core 3rd Gen - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ512WS Thin and Light Laptop  (15.6 inch, Transparent Silver, With MS Office)",ASUS,44900,AMD,Ryzen 5 Quad Core,3rd Gen,,,true,512.0,8,,15.6,777600.0,,False,True,False,False
"DELL Inspiron Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Thin and Light Laptop  (15.6 inch, Platinum Silver, 1.8 kg, With MS Office)",DELL,36890,Intel,Pentium Quad Core,,1.1,4.0,true,256.0,8,,15.6,1049088.0,1.8,True,True,True,True
"ASUS Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L501WS Laptop  (15.6 inch, Hearty GOLD, With MS Office)",ASUS,66500,Intel,Core i5,11th Gen,,,true,256.0,8,,15.6,2073600.0,,False,True,False,False
"ASUS Ryzen 7 Quad Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RTX3050- 4GB) G513IC-HN023WS Gaming Laptop  (15.6 inch, Gray, With MS Office)",ASUS,89590,AMD,Ryzen 7 Quad Core,10th Gen,,,true,512.0,16,4 GB,15.6,2073600.0,,False,True,False,False
"DELL Vostro 5000 Series Ryzen 5 Quad Core Ryzen 5-5625U - (16 GB/512 GB SSD/Windows 10 Home) Vostro 5625 Thin and Light Laptop  (16 inch, Titan Grey, 1.9 kg, With MS Office)",DELL,68900,AMD,Ryzen 5 Quad Core,,4.00,6.0,true,512.0,16,,16,2304000.0,1.9,True,True,True,True
"DELL G15 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15-5511 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.4 kg, With MS Office)",DELL,92490,Intel,Core i5,11th Gen,2.2,,true,512.0,16,4 GB,15.6,2073600.0,2.4,True,True,True,True
"ASUS TUF Gaming F15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) FX577ZE-HN056W Gaming Laptop  (15.6 inch, Jaeger Gray, 2.20 kg)",ASUS,116990,Intel,Core i7,12th Gen,3.0,14.0,true,512.0,16,4 GB,15.6,2073600.0,2.20,True,True,True,True
"ASUS ROG Strix SCAR 17 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G733ZW-LL139WS Gaming Laptop  (17.3 inch, Off Black, 2.90 kg, With MS Office)",ASUS,234990,Intel,Core i9,12th Gen,2.5,14.0,true,1000.0,32,8 GB,17.3,3686400.0,2.90,True,True,True,False
