brand,price,processor brand,processor number,processor year,processor clock speed,processor core count,SSD,drive capacity,RAM,GPU memory,screen size,pixel count,weight,speakers,touchscreen,microphone,webcam
HP,68100,AMD,5,,,,True,512.0,8,4.0,16.1,2073600.0,,False,True,False,False
acer,26990,Intel,1,,1.10,,False,1024.0,4,,15.6,2073600.0,1.9,True,True,True,True
acer,32990,Intel,3,2020.0,3.00,,True,256.0,4,,15.6,2073600.0,1.7,True,True,True,True
acer,38990,Intel,3,2020.0,4.10,2.0,True,512.0,8,,15.6,2073600.0,1.7,True,True,True,True
HP,82000,Intel,5,2020.0,,,True,512.0,8,4.0,16.1,2073600.0,,False,True,False,False
acer,48990,Intel,5,2020.0,4.20,2.0,False,1024.0,8,,15.6,2073600.0,1.7,True,True,True,True
acer,24990,AMD,1,,1.2,,True,256.0,4,,14,1049088.0,1.9,True,True,True,True
Lenovo,62990,Intel,5,2020.0,4.2,4.0,True,512.0,16,,15.6,2073600.0,1.66,True,True,True,True
Lenovo,40990,Intel,3,2020.0,4.1,2.0,True,512.0,8,,15.6,2073600.0,1.7,True,True,True,True
Lenovo,45799,Intel,5,2019.0,4.2,4.0,True,512.0,8,,15.6,2073600.0,1.7,True,True,True,True
Lenovo,50990,Intel,5,2020.0,4.2,4.0,True,512.0,8,,14,2073600.0,Dual,True,True,False,True
ASUS,44490,Intel,3,2020.0,2.0,4.0,True,512.0,8,,14.1,2073600.0,1.4,True,True,True,True
ASUS,28290,Intel,1,,4020,2.0,False,1024.0,4,,15.6,1049088.0,1.8,True,True,True,True
Lenovo,72998,AMD,7,,1.9,8.0,True,1024.0,16,,14,3136000.0,1.38,True,True,True,True
Lenovo,59999,Intel,5,2020.0,4.2,4.0,True,512.0,8,,14,2073600.0,,True,True,False,True
MSI,74990,Intel,5,2020.0,2.7,6.0,True,512.0,8,4.0,15.6,2073600.0,2.25,True,True,True,True
MSI,49990,AMD,5,2021.0,2.1,6.0,True,256.0,8,,14,2073600.0,1.3,True,True,True,True
HP,39999,Intel,3,2020.0,1.7,4.0,True,256.0,8,,15.6,2073600.0,1.69,True,True,True,True
DELL,114990,AMD,7,,3.2,8.0,True,512.0,16,6.0,15.6,2073600.0,2.57,True,True,True,True
DELL,85990,Intel,5,2020.0,2.7,8.0,True,512.0,16,4.0,15.6,2073600.0,2.65,True,True,True,True
DELL,99990,Intel,7,2020.0,2.3,8.0,True,512.0,16,4.0,15.6,2073600.0,2.65,True,True,True,True
MSI,94990,Intel,7,2020.0,4.60,,True,512.0,16,4.0,15.6,2073600.0,2.25,True,True,True,True
DELL,99990,Intel,7,2020.0,1.9,8.0,True,512.0,16,4.0,15.6,2073600.0,2.4,True,True,True,True
MSI,69990,AMD,7,2021.0,1.8,8.0,True,512.0,8,,15.6,2073600.0,1.6,True,True,False,True
HP,42490,Intel,3,2020.0,,,True,512.0,8,,15.6,2073600.0,,False,True,False,False
HP,54990,Intel,5,2020.0,4.5,4.0,True,512.0,8,,15.6,2073600.0,1.69,True,True,True,True
HP,57990,Intel,5,2020.0,,,True,512.0,8,,15.6,2073600.0,,False,True,False,False
acer,49990,Intel,5,2020.0,4.20,4.0,False,1024.0,8,,15.6,2073600.0,1.65,True,True,True,True
acer,35990,AMD,3,,2.60,2.0,True,512.0,8,,15.6,2073600.0,1.9,True,True,True,True
HP,42490,Intel,3,2020.0,3.7,4.0,True,512.0,8,,15.6,2073600.0,1.69,True,True,False,True
acer,33999,AMD,3,,3.5,2.0,True,512.0,4,,15.6,2073600.0,1.9,True,True,True,True
ASUS,42990,Intel,3,2020.0,3.00,,True,512.0,8,,14,2073600.0,1.40,True,True,True,True
ASUS,87990,Intel,5,2020.0,4.2,4.0,True,512.0,16,,13.3,2073600.0,1.30,False,True,True,True
Lenovo,38990,Intel,3,2019.0,,,False,1024.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,91900,AMD,5,,4.2,6.0,True,512.0,16,,14,5184000.0,1.40,True,True,True,True
ASUS,42990,Intel,3,2020.0,3.00,,True,512.0,8,,14,2073600.0,1.40,True,True,True,True
ASUS,42990,Intel,1,,1.1,4.0,False,,4,,13.3,2073600.0,0.78,True,True,True,True
ASUS,54990,Intel,1,,1.1,4.0,True,256.0,8,,13.3,2073600.0,0.78,True,True,True,True
ASUS,104990,Intel,7,2020.0,4.7,4.0,True,512.0,16,,13.3,2073600.0,1.30,False,True,True,True
ASUS,134990,Intel,7,2020.0,2.9,4.0,True,1024.0,16,2.0,14,2073600.0,1.62,True,True,True,True
ASUS,99990,Intel,5,2020.0,2.40,4.0,True,512.0,8,,14,2073600.0,1.62,True,True,True,True
ASUS,42990,Intel,3,2020.0,3.00,,True,512.0,8,,14,2073600.0,1.40,True,True,True,True
ASUS,87990,Intel,5,2020.0,4.2,4.0,True,512.0,16,,13.3,2073600.0,1.30,False,True,True,True
ASUS,42990,Intel,3,2020.0,3.00,,True,512.0,8,,14,2073600.0,1.40,True,True,True,True
ASUS,29990,Intel,1,,3.3,4.0,True,256.0,4,,14,2073600.0,1.50,True,True,True,True
